Loading weights:   0%|          | 0/320 [00:00<?, ?it/s]Loading weights:  23%|██▎       | 75/320 [00:00<00:00, 735.13it/s]Loading weights:  76%|███████▋  | 244/320 [00:00<00:00, 1291.91it/s]Loading weights: 100%|██████████| 320/320 [00:00<00:00, 1305.01it/s]
group t=15 done
group t=27 done
group t=11 done
group t=31 done

writer-only recovery = +1.043
kind                       layer head  mean_rec   sem
pathopen head                19 1     +0.368  0.010
pathopen head                19 2     +0.006  0.001
pathopen head                19 3     +0.117  0.009
pathopen head                19 4     -0.144  0.005
pathopen head                19 5     +0.262  0.007
pathopen head                19 6     -0.108  0.004
pathopen head                19 7     +0.170  0.005
pathopen head                23 0     +0.051  0.003
pathopen head                23 1     +0.023  0.002
pathopen head                23 2     +0.014  0.002
pathopen head                23 3     -0.394  0.008
pathopen head                23 4     +0.005  0.001
pathopen head                23 5     +0.002  0.001
pathopen head                23 6     +0.025  0.001
pathopen head                23 7     +0.069  0.003
writer only                   0 None  +1.043  0.008
writer+block head             3 0     +1.040  0.008
writer+block head             3 1     +1.044  0.008
writer+block head             3 2     +1.044  0.008
writer+block head             3 3     +1.042  0.008
writer+block head             3 4     +1.049  0.008
writer+block head             3 5     +1.043  0.008
writer+block head             3 6     +1.044  0.008
writer+block head             3 7     +1.017  0.008
writer+block head             7 0     +1.059  0.008
writer+block head             7 1     +1.042  0.008
writer+block head             7 2     +1.028  0.008
writer+block head             7 3     +1.043  0.008
writer+block head             7 4     +1.043  0.008
writer+block head             7 5     +1.045  0.008
writer+block head             7 6     +1.047  0.008
writer+block head             7 7     +1.026  0.008
writer+block head            11 0     +1.053  0.008
writer+block head            11 1     +1.041  0.008
writer+block head            11 2     +1.037  0.008
writer+block head            11 3     +1.031  0.008
writer+block head            11 4     +1.016  0.008
writer+block head            11 5     +1.047  0.008
writer+block head            11 6     +1.066  0.008
writer+block head            11 7     +1.027  0.008
writer+block head            15 0     +0.896  0.009
writer+block head            15 1     +0.912  0.009
writer+block head            15 2     +0.920  0.008
writer+block head            15 3     +1.229  0.011
writer+block head            15 4     +1.086  0.008
writer+block head            15 5     +0.719  0.010
writer+block head            15 6     +1.038  0.008
writer+block head            15 7     +1.022  0.008
writer+block head            19 0     +1.011  0.008
writer+block head            19 1     +0.665  0.013
writer+block head            19 2     +1.039  0.008
